Time 1, User A, Process 2, Started
Time 1, User A, Process 2, Paused
Time 1, User A, Process 0, Started
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Started
Time 1, User A, Process 1, Paused
Time 1, User A, Process 3, Started
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Started
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
Time 1, User A, Process 3, Resumed
Time 1, User A, Process 3, Paused
Time 1, User A, Process 4, Resumed
Time 1, User A, Process 4, Paused
Time 1, User A, Process 0, Resumed
Time 1, User A, Process 0, Paused
Time 1, User A, Process 1, Resumed
Time 1, User A, Process 1, Paused
Time 1, User A, Process 2, Resumed
Time 1, User A, Process 2, Paused
